City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Calabasas,US,89.62,clear sky,34.1578,-118.6384,The Anza A Calabasas Hotel
577,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
579,Teocaltiche,MX,78.31,broken clouds,21.4333,-102.5833,Hotel los Caxcanes
582,Mackay,AU,74.05,few clouds,-21.15,149.2,International Lodge Motel
585,Muroto,JP,73.44,broken clouds,33.2833,134.15,Oota Ryokan
586,Bani,DO,79.86,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
589,Sabha,LY,84.43,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
590,Merauke,ID,77.45,overcast clouds,-8.4667,140.3333,
591,Ishigaki,JP,80.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
592,Shache,CN,71.01,scattered clouds,38.4167,77.2406,Delong Hotel
593,Korla,CN,72.5,clear sky,41.7597,86.1469,Gulisitan Hotel
597,Aksu,CN,71.64,clear sky,41.1231,80.2644,Pudong Holiday Hotel
598,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
601,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
605,Kalmunai,LK,79.75,broken clouds,7.4167,81.8167,VS Villa
606,Ambilobe,MG,73.29,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
608,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
613,Koumac,NC,73.74,few clouds,-20.5667,164.2833,Le Monitel
614,Muisne,EC,76.35,broken clouds,0.6,-80.0333,Quinta Samay
619,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
620,Lithakia,GR,70.97,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
621,Rosarito,MX,84.94,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
